ssid,doi,title,authors,year,venue
"a28a7f9a0a439134526fa3f6bad73255d74db463","10.1080/02699931.2011.625401","Emotional time distortions: The fundamental role of arousal","Sandrine Gil, S. Droit-Volet","2012","Cognition & emotion",
"50a1d3553d1d8c4bb24672b7da98887ee4dd1e35","10.3758/BF03205512","The influence of affective factors on time perception","A. Angrilli, P. Cherubini, A. Pavese, S. Manfredini","1997","Perception & psychophysics",
"5601972aa88cb9204e32048213a42da46a8ccb17","10.1037/1528-3542.7.4.697","How emotional auditory stimuli modulate time perception.","M. Noulhiane, N. Mella, S. Samson, R. Ragot, V. Pouthas","2007","Emotion",
"daa840fa7dd200e28da0c4b6275b329feff74944","10.1037/1528-3542.6.1.1","Embodied temporal perception of emotion.","Daniel A. Effron, P. Niedenthal, Sandrine Gil, S. Droit-Volet","2006","Emotion",
"bedc66e875d64a0e579e5363b84d79af60265ca9","10.1016/j.bandc.2010.11.012","The role of physiological arousal in time perception: Psychophysiological evidence from an emotion regulation paradigm","N. Mella, L. Conty, V. Pouthas","2011","Brain and Cognition",
"eb07ad76fd63c8525bb1c42e80f59cfcae028970","10.1037/1528-3542.8.1.127","Negative emotionality influences the effects of emotion on time perception.","J. Tipples","2008","Emotion",
"497427e3551a5acafa4383441c383a25121f76c1","10.1080/02699930903387603","When time slows down: The influence of threat on time perception in anxiety","Y. Bar-Haim, A. Kerem, D. Lamy, D. Zakay","2010","",
"8921491d6523869c602e8bfb65c65f6387fd18f0","10.1016/J.COGBRAINRES.2004.06.012","Cortico-striatal circuits and interval timing: coincidence detection of oscillatory processes.","M. Matell, W. Meck","2004","Brain research. Cognitive brain research",
"008e10883a7e9914bb02f71ed62b41329378f8ae","10.3389/fnint.2011.00033","Emotion and Time Perception: Effects of Film-Induced Mood","S. Droit-Volet, Sophie L. Fayolle, Sandrine Gil","2011","Front. Integr. Neurosci.",
"bc45751fb05b25253fa14e9f6862d47a9c7b01f6","10.1163/22134468-00002004","Time, Emotion and the Embodiment of Timing","S. Droit-Volet, Sophie L. Fayolle, M. Lamotte, Sandrine Gil","2013","",
