From,To,Diff. Score,Citation-Based Distance (Z), Semantic Distance (Z)
[c51: Crying](/emo-web/profiles/c51),[c03: Empathy](/emo-web/profiles/c03),1.93,0.77,-1.17
[c51: Crying](/emo-web/profiles/c51),[c22: Communication](/emo-web/profiles/c22),2.15,0.95,-1.2
[c51: Crying](/emo-web/profiles/c51),[c25: Consumer](/emo-web/profiles/c25),1.63,0.79,-0.85
[c33: Humor](/emo-web/profiles/c33),[c51: Crying](/emo-web/profiles/c51),1.96,0.94,-1.02
[c26: Pet](/emo-web/profiles/c26),[c51: Crying](/emo-web/profiles/c51),1.87,0.87,-1
