From,To,Diff. Score,Citation-Based Distance (Z), Semantic Distance (Z)
[c26: Pet](/affect-net/profiles/c26),[c64: Depression II](/affect-net/profiles/c64),2.26,1.22,-1.03
[c51: Crying](/affect-net/profiles/c51),[c64: Depression II](/affect-net/profiles/c64),1.9,0.76,-1.13
[c32: Experience](/affect-net/profiles/c32),[c64: Depression II](/affect-net/profiles/c64),1.8,1.32,-0.48
[c14: Vagus nerve](/affect-net/profiles/c14),[c64: Depression II](/affect-net/profiles/c64),1.75,0.94,-0.81
[c16: Happiness](/affect-net/profiles/c16),[c64: Depression II](/affect-net/profiles/c64),1.37,0.88,-0.49
