From,To,Diff. Score,Citation-Based Distance (Z), Semantic Distance (Z)
[c26: Pet](/affect-net/profiles/c26),[c41: Depression](/affect-net/profiles/c41),2.13,1.12,-1.01
[c33: Humor](/affect-net/profiles/c33),[c41: Depression](/affect-net/profiles/c41),2.04,1.29,-0.76
[c51: Crying](/affect-net/profiles/c51),[c41: Depression](/affect-net/profiles/c41),2.02,0.75,-1.27
[c32: Experience](/affect-net/profiles/c32),[c41: Depression](/affect-net/profiles/c41),1.93,1.3,-0.63
[c16: Happiness](/affect-net/profiles/c16),[c41: Depression](/affect-net/profiles/c41),1.61,0.85,-0.77
