ssid,doi,title,authors,year,venue
"64d3f8d64167a085ca07d1e88da2b14e9ffc8644","None","Body Consciousness: A Philosophy of Mindfulness and Somaesthetics","R. Shusterman","2008","",
"dbaf016264b391371416d63f97bc612b789b6470","10.1145/1868914.1868943","Transferring qualities from horseback riding to design","K. Höök","2010","NordiCHI",
"5237079dd27b2d862b274020b09e9fd066c32cc1","10.1353/CON.1999.0025","The Scientific Image of Emotion: Experience and Technologies of Inscription","Otniel Yizhak Dror","1999","",
"db7e78c4223b4986ed887109ddeed3afd6eaf703","10.1145/2858036.2858583","Somaesthetic Appreciation Design","K. Höök, Martin Jonsson, A. Ståhl, J. Mercurio","2016","CHI",
"a5463179c5e503f71ef0963b3b96001d1e57e27f","None","Human-Machine Reconfigurations: Plans and Situated Actions","L. Suchman","2006","",
"00021043ddf2e4647dd66adb20f6dcc3e0a239bb","10.1145/1868914.1868978","How to stay in the emotional rollercoaster: lessons learnt from designing EmRoll","Farnaz Zangouei, M. A. Gashti, K. Höök, Tim J. W. Tijs, G. D. Vries, J. Westerink","2010","NordiCHI",
"c280a30e8bcd1cc35c6a8a30da641d9021cd1aa0","None","It'sSoTouching:Emotional Value in Distal Contact","C. Lenay","2010","",
"0cf88180dbae71f83922109289509bf8a2a931fe","10.1145/2317956.2318034","Autobiographical design in HCI research: designing and learning through use-it-yourself","Carman Neustaedter, Phoebe Sengers","2012","DIS 12",
"ab0f7e7d5d27782b10ee9b0f066f2e8d6ee313f7","10.1145/2598510.2598561","Practicing somaesthetics: exploring its impact on interactive product design ideation","Wonjun Lee, Youn-kyung Lim, R. Shusterman","2014","Conference on Designing Interactive Systems",
"df533d3b8d46fffd68251c894eeb8a0393cc2f53","10.1145/2858036.2858486","Embodied Sketching","Elena Márquez Segura, Laia Turmo Vidal, A. Rostami, Annika Wærn","2016","CHI",
