ssid,doi,title,authors,year,venue
"d03b24bec4858f3639fb9a76c68cc1665f198456","10.1017/cbo9781139032490","The Rationalizing Voter","M. Lodge, Charles Taber","2013","",
"0ddb0c994258ef21ce9a5f4a136a477bba5527c7","10.1017/CBO9781139963107","Anxious politics : democratic citizenship in a threatening world","B. Albertson, Shana Gadarian","2015","",
"5612e5c9c2ad421ef2b9786c9b04d048c1523543","10.1093/oxfordhb/9780199545636.001.0001","The Oxford Handbook of American Public Opinion and the Media","George C. Edwards, L. Jacobs, R. Y. Shapiro","2013","",
"b97c72d4ca1009d1e0bc8ac1eab87f0fd4bd1527","10.1038/s41562-020-0884-z","Using social and behavioural science to support COVID-19 pandemic response","J. V. Bavel, Katherine Baicker, P. Boggio, V. Capraro, A. Cichocka, M. Cikara, M. Crockett, A. Crum, K. M. Douglas, J. Druckman, J. Drury, Oeindrila Dube, N. Ellemers, E. Finkel, J. Fowler, M. Gelfand, Shihui Han, S. Haslam, J. Jetten, S. Kitayama, D. Mobbs, L. Napper, D. Packer, Gordon Pennycook, Ellen Peters, R. Petty, David G. Rand, S. Reicher, S. Schnall, A. Shariff, L. Skitka, S. Smith, C. Sunstein, N. Tabri, Joshua A. Tucker, S. Linden, P. V. Lange, Kim A. Weeden, Michael J. A. Wohl, J. Zaki, S. Zion, Robb Willer","2020","Nature Human Behaviour",
"b6b3d4e2c82b15a654c420ec55cce908298a4404","10.1111/POPS.12164","Political Parties, Motivated Reasoning, and Public Opinion Formation","Thomas J. Leeper, Rune Slothuus","2014","",
"6f869967c281a75a09b76c412e9b55dbe97f1ce5","10.1111/POPS.12394","The Nature and Origins of Misperceptions: Understanding False and Unsupported Beliefs About Politics","D. Flynn, B. Nyhan, Jason Reifler","2017","",
"f67b094178966270cf0e6b50c444ae5b487eb906","10.1111/AJPS.12234","Conspiracy Endorsement as Motivated Reasoning: The Moderating Roles of Political Knowledge and Trust","Joanne M. Miller, Kyle L. Saunders, Christina E. Farhart","2016","",
"683758a5c7d21c485b1a9691cb8b03cbe4bfb951","10.1007/S11109-018-9443-Y","The Elusive Backfire Effect: Mass Attitudes’ Steadfast Factual Adherence","Thomas J. Wood, Ethan Porter","2019","",
"c31861537baeba1d6ea94fd67691b8e3d05a7c0f","10.2139/SSRN.2319992","Motivated Numeracy and Enlightened Self-Government","D. Kahan, E. Peters, Erica Dawson, P. Slovic","2017","",
"dabb02838f731aa620beb84eedeed430be6c4ef5","10.1037/0022-3514.75.1.53","Motivated sensitivity to preference-inconsistent information.","P. Ditto, James A. Scepansky, G. Munro, A. Apanovitch, L. K. Lockhart","1998","",
