From,To,Diff. Score,Citation-Based Distance (Z), Semantic Distance (Z)
[c04: Emotional Intelligence](/profiles/c04),[c60: Temperament](/profiles/c60),2.11,1.12,-0.99
[c61: Media](/profiles/c61),[c04: Emotional Intelligence](/profiles/c04),2.15,1.28,-0.87
[c49: Play](/profiles/c49),[c04: Emotional Intelligence](/profiles/c04),2.1,1.17,-0.93
[c66: Experience (music)](/profiles/c66),[c04: Emotional Intelligence](/profiles/c04),2.08,1.22,-0.86
[c53: Dark tourism](/profiles/c53),[c04: Emotional Intelligence](/profiles/c04),1.99,1.11,-0.88
