ssid,doi,title,authors,year,venue
"8d9df4fdcde0828bea7dbf7cf7fa8ce58d7ebce9","10.1016/0148-2963(82)90016-9","Impulsive consumer buying as a result of emotions","Peter Weinberg, W. Gottwald","1982","",
"9aeca4e536f7267fded641dc6ba91de4c34c956f","10.1086/209105","The Buying Impulse","Dennis W. Rook","1987","",
"bf0aaa04393c1ef21caef88181fddc619ff7fac6","10.1016/S0022-4359(98)90009-4","Impulse buying: Modeling its precursors","S. Beatty, M. E. Ferrell","1998","",
"1e197831c24f3f72c0dff8c43f6925d24e65d1c7","10.1016/0022-4359(94)90037-X","Store atmosphere and purchasing behavior","R. Donovan","1994","",
"17f6e514da53be45819b5474c2ecbcb2393392dd","10.1086/208573","Time-inconsistent Preferences and Consumer Self-Control","S. J. Hoch, G. Loewenstein","1991","",
"b8f601c563be6b2a164cd6ab379186705bcdc929","10.1207/S15327663JCP1202_08","The Influence of Culture on Consumer Impulsive Buying Behavior","Jacqueline J. Kacen, J. Lee","2002","",
"31a2d32be8ef95f5456fe965046c1a3983d86e8a","10.1108/07363760010341045","A multi‐method investigation of consumer motivations in impulse buying behavior","A. Hausman","2000","",
"568d71ace274be9dbc8219dd9f3a52ae3b4f5ac1","10.1002/1520-6793(200011)17:11<955::AID-MAR3>3.0.CO;2-J","Temptation and resistance: An integrated model of consumption impulse formation and enactment","U. Dholakia","2000","",
"ae3fb9abde443123ef0c8434a09aa0182e0945c3","10.1016/j.im.2011.08.001","The influence of online store beliefs on consumer online impulse buying: A model and empirical application","T. Verhagen, W. Dolen","2011","Inf. Manag.",
"a007a575b171761a910290ee2aabbfcfbba04dd7","None","Effects of Impulse Purchases on Consumers' Affective States","Meryl P Gardner, Dennis W. Rook","1988","",
