Community pairs with high citation-based distance but low semantic distance,,Diff. Score,Citation-Based Distance (Z), Semantic Distance (Z)
[c46: Time](/emo-web/profiles/c46),[c18: Face](/emo-web/profiles/c18),1.97,0.83,-1.14
[c51: Crying](/emo-web/profiles/c51),[c18: Face](/emo-web/profiles/c18),1.78,0.76,-1.02
[c55: Women](/emo-web/profiles/c55),[c18: Face](/emo-web/profiles/c18),0.93,0.65,-0.28
