ssid,doi,title,authors,year,venue
"3ce4e25c7c9c18d97875d4f123719464f976458b","10.1016/S0031-9384(97)90016-0","Basic Emotions Evoked by Odorants Comparison Between Autonomic Responses and Self-Evaluation","O. Alaoui-Ismaïli, O. Robin, H. Rada, A. Dittmar, E. Vernet-maury","1997","Physiology & Behavior",
"98ffbe5a6781e0e050e2afb5b689e35f7897621f","10.1093/CHEMSE/27.8.703","Autonomic nervous system responses to odours: the role of pleasantness and arousal.","M. Bensafi, C. Rouby, V. Farget, B. Bertrand, M. Vigouroux, A. Holley","2002","Chemical senses",
"5ed658cffe285acd6b87422ffa4a0b52a87fadd7","10.1016/S0167-8760(99)00110-5","Functional neuroimaging of the olfactory system in humans.","D. Zald, J. Pardo","2000","International journal of psychophysiology : official journal of the International Organization of Psychophysiology",
"6c78fe1760f8a28569fb029edc5ca89c8833d0ab","10.1146/annurev.psych.60.110707.163639","An odor is not worth a thousand words: from multidimensional odors to unidimensional odor objects.","Y. Yeshurun, N. Sobel","2013","Annual review of psychology",
"ef208bd1838d57f2c2e60c9e1f7a7a4a8b20b3ee","10.3758/BF03210754","Odor memory: Review and analysis","R. Herz, T. Engen","1996","Psychonomic bulletin & review",
"fdbbbe1b9467b913db7f2a5a79938b497a294cf6","10.1016/S0165-1838(98)00168-4","Basic emotions induced by odorants: a new approach based on autonomic pattern results.","E. Vernet-maury, O. Alaoui-Ismaïli, A. Dittmar, G. Delhomme, J. Chanel","1999","Journal of the autonomic nervous system",
"ff71bb8adb9d5548d6a332b050bf56b49ae18a32","10.1016/S0167-8760(97)00052-4","Anxiety and respiratory patterns: their relationship during mental stress and physical load.","Y. Masaoka, I. Homma","1997","International journal of psychophysiology : official journal of the International Organization of Psychophysiology",
"7edc4871317735987a5591865b2c2721159443e0","10.1007/978-1-4612-2836-3_15","Olfaction and Emotion","H. Ehrlichman, L. Bastone","1992","",
"7f35a1a7d02974a689353c58c73689f7c324c12b","10.1093/CHEMSE/24.3.327","Basic emotions evoked by eugenol odor differ according to the dental experience. A neurovegetative analysis.","O. Robin, O. Alaoui-Ismaïli, A. Dittmar, E. Vernet-maury","1999","Chemical senses",
"7aa671b567527401fd00c7f5182678d6a9aa1dd2","10.1006/nimg.2000.0704","Functional Neuroanatomy of Different Olfactory Judgments","J. Royet, J. Hudry, D. Zald, D. Godinot, M. Grégoire, F. Lavenne, N. Costes, A. Holley","2001","NeuroImage",
