ssid,doi,title,authors,year,venue
"467317b1380e2f7236db68bac41ff8d2c96de319","10.1037//0022-3514.48.5.1299","Type A behavior, nonverbal expressive style, and health.","H. Friedman, J. A. Hall, M. J. Harris","1985","Journal of personality and social psychology",
"26514ebb31b91e49c25daa43519e47e766db890d","10.2307/2136665","Sex differences in symptoms of depression: clinical disorder or normal distress?","J. P. Newmann","1984","Journal of health and social behavior",
"f64b14c159af16dc74c09dda069c54edf722249f","10.1002/SMI.2460050106","The stress‐prone personality: A review of the research in the context of occupational stress","H. Taylor, C. Cooper","1989","",
"9a3730fbf21afec8ad3c50daa3c062f392555536","10.1177/0038026116686500","Are men getting more emotional? Critical sociological perspectives on men, masculinities and emotions","Sam de Boise, J. Hearn","2017","",
"41cd33e14166f848522c3e13a885e9230400ed78","10.1007/978-1-4899-3740-7_6","Gender Differences in Coping with Emotional Distress","P. Thoits","1991","",
"11f24493334ccb71506fdf6cefb87a0437e87901","10.1016/0272-7358(90)90108-M","Towards a refinement of cognitive therapy in light of interpersonal theory: I. Theory","J. Safran","1990","",
"cd50730a2adccb3f607056304f10eec39d390069","10.1016/S0165-0327(01)00379-2","Barriers to help-seeking by men: a review of sociocultural and clinical literature with particular reference to depression.","A. Möller-Leimkühler","2002","Journal of affective disorders",
"f989935caa2338c9c482999109dd3b85b8225b41","10.1007/s00406-003-0397-6","The gender gap in suicide and premature death or: why are men so vulnerable?","A. Möller-Leimkühler","2003","European Archives of Psychiatry and Clinical Neuroscience",
"9440c5be8502a4e4fbad84f09bb591f16a1b6e50","10.2307/1165889","Returning the Smile of the Stranger: Developmental Patterns and Socialization Factors.","Y. Babad","1983","",
"ebe810e2681c2a982659223f633771566c36845b","10.3109/09540269609051547","The origins of sex differences in depressive disorder: Bridging the gap","P. Bebbington","1996","",
