ssid,doi,title,authors,year,venue
"4ddf87d3260b0170562240d6e60ad9fb6905d4c2","10.1037/a0036790","Pancultural nostalgia: prototypical conceptions across cultures.","E. Hepper, T. Wildschut, C. Sedikides, Timothy D. Ritchie, Y. Yung, N. Hansen, G. Abakoumkin, G. Arikan, Sylwia Z. Cisek, Didier B. Demassosso, J. Gebauer, J. Gerber, Roberto González, T. Kusumi, G. Misra, M. Rusu, O. Ryan, Elena Stephan, A. Vingerhoets, Xinyue Zhou","2014","Emotion",
"51a6d11b20ffe0b04e715c4f7d509a528908d28c","10.1037/a0019006","Music-evoked nostalgia: affect, memory, and personality.","F. Barrett, K. Grimm, R. Robins, T. Wildschut, C. Sedikides, P. Janata","2010","Emotion",
"1c2954d45d3433ac47986ec8b9ead8a9b5694bb0","10.1016/BS.AESP.2014.10.001","To nostalgize: mixing memory with affect and desire","C. Sedikides, T. Wildschut, C. Routledge, J. Arndt, E. Hepper, Xinyue Zhou","2015","",
"de94bc60c585888d0febc1703f51d580fd4003cf","10.1037/a0035673","The mnemonic mover: nostalgia regulates avoidance and approach motivation.","Elena Stephan, T. Wildschut, C. Sedikides, Xinyue Zhou, Wuming He, C. Routledge, Wing-Yee Cheung, A. Vingerhoets","2014","Emotion",
"f67f2ab07354d924c2142d66fff10408266ae9cb","10.1177/0146167213499187","Back to the Future","Wing-Yee Cheung, T. Wildschut, C. Sedikides, E. Hepper, J. Arndt, A. Vingerhoets","2013","Personality & social psychology bulletin",
"8c3ad7c4d334c6e23afa27f05a9d7b17de1bb1fb","10.1002/EJSP.2073","Nostalgia counteracts self-discontinuity and restores self-continuity","C. Sedikides, T. Wildschut, C. Routledge, J. Arndt","2015","",
"72d40a057d3ba5c73ea7ca095ffb3300cfa04769","10.1037/emo0000136","Nostalgia fosters self-continuity: Uncovering the mechanism (social connectedness) and consequence (eudaimonic well-being).","C. Sedikides, T. Wildschut, Wing-Yee Cheung, C. Routledge, E. Hepper, J. Arndt, Kenneth E. Vail, Xinyue Zhou, K. Brackstone, A. Vingerhoets","2016","Emotion",
"aeb9ae834e079e6942a75fe7cd1d96961f9fd4f2","10.1177/0146167215596985","Nostalgia-Evoked Inspiration","Elena Stephan, C. Sedikides, T. Wildschut, Wing-Yee Cheung, C. Routledge, J. Arndt","2015","Personality & social psychology bulletin",
"a6f9bddc4ace4a6bbc9c41df02d358b8e2e7f567","10.1037/gpr0000109","Finding Meaning in Nostalgia","C. Sedikides, T. Wildschut","2018","",
"9175e36485ad2835a71a6fcfc6f9adf9ad3ddd58","10.1002/9781118468197.CH9","Nostalgia: A bittersweet emotion that confers psychological health benefits","C. Sedikides, T. Wildschut","2016","",
