ssid,doi,title,authors,year,venue
"33d53a0e4146e2d5d9e5a38bbdc15c110f658306","10.1016/S0167-8809(03)00143-9","Charles Darwin, earthworms and the natural sciences: various lessons from past to future","C. Feller, G. Brown, E. Blanchart, P. Deleporte, S. Chernyanskii","2003","",
"741ea936ad40a482862bca6e770c3eeda99af422","10.1016/S0031-4056(04)70291-7","With Darwin, earthworms turn intelligent and become human friends","G. Brown, C. Feller, E. Blanchart, P. Deleporte, S. Chernyanskii","2003","",
"841dba1d7c8370535b26227dfae6abd77f8272a7","10.1111/EJSS.12025","A review of earthworm impact on soil function and ecosystem services","M. Blouin, M. Hodson, E. Delgado, G. Baker, L. Brussaard, K. Butt, J. Dai, L. Dendooven, G. Pérès, J. Tondoh, D. Cluzeau, J. Brun","2013","",
"269f13cc34e2611c50d8274b69b52419967836c4","10.1016/J.TREE.2006.08.002","Bioturbation: a fresh look at Darwin's last idea.","F. Meysman, J. Middelburg, C. Heip","2006","Trends in ecology & evolution",
"7bbb6b3c704a4eb286ef9b46a3c4df2b3a071b1c","10.1353/jhi.0.0031","Sympathy in Mind (1876-1900)","S. Lanzoni","2009","Journal of the history of ideas",
"9a13b2bfddc794cbb9580b59f7d4da15f3b0395f","10.1201/9781420039719-9","How Earthworms Affect Plant Growth: Burrowing into the Mechanisms","G. Brown, C. Edwards, L. Brussaard","2004","",
"e327e8bc1df1f24dadfd3b14767ae6b48388ff67","None","Effects of earthworms on phosphorus dynamics - a review.","R. L. Bayon, R. Milleret, N. Karmegam","2009","",
"61b5daaa5fd613efb186710f3039528426dfe80c","10.1016/J.EARSCIREV.2009.09.005","Breaking ground: Pedological, geological, and ecological implications of soil bioturbation","M. T. Wilkinson, P. J. Richards, G. Humphreys","2009","",
"9b3cf1c00b55f08be68e61b4ab2f742528121767","10.1016/J.EJSOBI.2008.03.004","Darwin's earthworms revisited","K. Butt, C. N. Lowe, Toby Beasley, I. Hanson, R. Keynes","2008","",
"0f69e6dcd3de6d2c2cae987b5f8492d09c31b330","10.1016/J.ECOLENG.2006.05.002","Physicochemical properties of earthworm casts and uningested parent soil from selected sites in southwestern Nigeria","D. Oyedele, P. Schjønning, A. A. Amusan","2006","",
