ssid,doi,title,authors,year,venue
"29c57af576caca3d197d3da4bd624be19408d368","10.1016/j.neuroimage.2009.05.042","Affective neural circuitry and mind–body influences in asthma","M. Rosenkranz, R. Davidson","2009","NeuroImage",
"f754b250f2e2920d1991be6ef826d70ee90d273c","10.1007/s10803-010-0950-x","Anxiety Symptoms in Boys with Autism Spectrum Disorder, Attention-Deficit Hyperactivity Disorder, or Chronic Multiple Tic Disorder and Community Controls","Sarit Guttmann-Steinmetz, K. Gadow, C. Devincent, J. Crowell","2010","Journal of autism and developmental disorders",
"f4ab7c45cf40dd099082e5242e66a5102ce2ccf4","10.1097/00006842-199203000-00006","The effects of suggestion and emotional arousal on pulmonary function in asthma: a review and a hypothesis regarding vagal mediation.","S. Isenberg, P. Lehrer, S. Hochron","1992","Psychosomatic medicine",
"a44661929863dd60b4c2b2ad09d4fcd6b1a5e303","10.3109/02770909309066375","Asthma and emotion: a review.","P. Lehrer, S. Isenberg, S. Hochron","1993","The Journal of asthma : official journal of the Association for the Care of Asthma",
"d149c861d177b47e00de0b9b69f1099e147233bb","10.1097/00006842-200005000-00014","Emotions and Stress Increase Respiratory Resistance in Asthma","T. Ritz, A. Steptoe, S. DeWilde, M. Costa","2000","Psychosomatic medicine",
"5e0634f8aba2fcaa4ec551b27b84c0379eba3422","10.1097/00004583-199705000-00018","Influence of specific emotional states on autonomic reactivity and pulmonary function in asthmatic children.","B. Miller, B. Wood","1997","Journal of the American Academy of Child and Adolescent Psychiatry",
"624e6d2d296bc81b32b849077c066bc8ebdd7263","10.1111/1469-8986.3950546","Guidelines for mechanical lung function measurements in psychophysiology.","T. Ritz, B. Dahme, A. B. Dubois, H. Folgering, G. Fritz, A. Harver, H. Kotses, P. Lehrer, C. Ring, A. Steptoe, K. P. van de Woestijne","2002","Psychophysiology",
"edc1e67cc4dad63b373c6b2b21e36a52886d0332","10.1016/0272-7358(89)90019-6","Assessing anxious emotion: A review of psychophysiological assessment in children","D. Beidel","1989","",
"3ac5e3fad7f96ff5afc9a7be3a36eaf8d5c95219","10.1016/S0165-0327(00)00170-1","Evolutionary recasting: ADHD, mania and its variants.","J. Brody","2001","Journal of affective disorders",
"78484f3ad406a072bda405873e3fdd4641ec7537","10.1111/J.1468-2850.2010.01220.X","Exploring the Nature and Function of Anxiety in Youth with Autism Spectrum Disorders","J. Wood, K. Gadow","2010","",
