From,To,Diff. Score,Citation-Based Distance (Z), Semantic Distance (Z)
[c39: Design](/profiles/c39),[c54: Interaction (user)](/profiles/c54),2.74,1.28,-1.46
[c44: Agent](/profiles/c44),[c54: Interaction (user)](/profiles/c54),2.41,1.09,-1.32
[c15: Sentiment analysis](/profiles/c15),[c54: Interaction (user)](/profiles/c54),2.35,1.4,-0.95
[c43: Creativity](/profiles/c43),[c54: Interaction (user)](/profiles/c54),2.21,1.24,-0.97
[c37: Student learning](/profiles/c37),[c54: Interaction (user)](/profiles/c54),2.02,1.06,-0.96
