ssid,doi,title,authors,year,venue
"27f770ecad2f843efc6828c09fb6545183e02629","10.1046/J.1523-1739.1999.97333.X","Current Normative Concepts in Conservation","J. B. Callicott, L. Crowder, K. Mumford","1999","",
"1e4e92144edd46c0b73576115402433a668305aa","10.1046/J.1523-1739.2001.015004970.X","Beyond biology: toward a more public ecology for conservation","David P. Robertson, R. B. Hull","2001","",
"12968bc001fef18dd6ca0b1aae11ddc7750b59a5","10.1046/J.1523-1739.2000.98362.X","The Natural Imperative for Biological Conservation","P. Angermeier","2000","",
"7723dac7f3437714bb11ed867690e4f56cf23fe1","10.1641/0006-3568(2001)051[0437:VPAEH]2.0.CO;2","Values, Policy, and Ecosystem Health","R. Lackey","2001","",
"ace4a89549f7c03fbf78c0284b525fc64ca63e24","10.1046/J.1523-1739.2000.99267.X","Refining Normative Concepts in Conservation","M. Hunter","2000","",
"6f067d4241c3157f91c4650a7c7de756c833d940","10.1016/J.BIOCON.2007.07.015","Classification of ecosystem services: Problems and solutions","K. Wallace","2007","",
"9f139d8403cbf377c8af59e9b00c2d8cc4c984a4","10.1046/J.1523-1739.2002.01232.X","Improving the practice of conservation: a conceptual framework and research agenda for conservation science","N. Salafsky, R. Margoluis, K. Redford, John G. Robinson","2002","",
"7c960d03d5a2b512bd62e982f9429a6306b3dbee","10.1007/S00267-002-2812-6","
Understandings of Environmental Quality: Ambiguities and Values Held by Environmental Professionals","R. B. Hull, D. Richert, E. Seekamp, David P. Robertson, G. Buhyoff","2003","Environmental management",
"112e312afc4c40ca4bf0320a339dbbd729c961b3","10.1111/J.1523-1739.2004.01851.X","Principles of Conservation Biology: Recommended Guidelines for Conservation Literacy from the Education Committee of the Society forConservation Biology*","Stephen C. Trombulak, Kristian S. Omland, Julie A. Robinson, Jeffrey J. Lusk, T. Fleischner, Glenn Brown, M. Domroese","2004","",
"dad7cd05b52721c9bab20156eead38a740f2cc73","10.1111/J.1523-1739.2006.00469.X","Conservation Biology and real-world conservation.","John G. Robinson","2006","Conservation biology : the journal of the Society for Conservation Biology",
