From,To,Diff. Score,Citation-Based Distance (Z), Semantic Distance (Z)
[c33: Humor](/emo-web/profiles/c33),[c58: Attitude](/emo-web/profiles/c58),2.77,1.28,-1.49
[c21: Political](/emo-web/profiles/c21),[c58: Attitude](/emo-web/profiles/c58),2.76,1.46,-1.3
[c61: Media](/emo-web/profiles/c61),[c58: Attitude](/emo-web/profiles/c58),2.57,1.29,-1.28
[c32: Experience](/emo-web/profiles/c32),[c58: Attitude](/emo-web/profiles/c58),2.55,1.31,-1.24
[c59: Nostalgia](/emo-web/profiles/c59),[c58: Attitude](/emo-web/profiles/c58),2.5,1.29,-1.21
