ssid,doi,title,authors,year,venue
"6be1c6070ad1b20a034907757601a6b083caa20a","10.1037//0022-3514.56.4.519","Preferences as expectation-driven inferences: effects of affective expectations on affective experience.","T. Wilson, D. J. Lisle, D. Kraft, C. Wetzel","1989","Journal of personality and social psychology",
"806913ae06f9d23b06f4759d2c6c2e3a829ffd4f","10.1037/0003-066X.40.11.1189","Response expectancy as a determinant of experience and behavior.","I. Kirsch","1985","",
"f6d197ec1a1d6025617f20ff785e6d8745ff7044","10.1006/JESP.1999.1377","Affective expectations and information gain: Evidence for assimilation and contrast effects in affective experience.","Andrew L. Geers, G. Lassiter","1999","",
"aecb41042296b10f155f17b5b2171e713cbc7b4b","10.1080/00029157.1978.10403973","On measures and conceptions of hypnosis.","A. Tellegen","1978","The American journal of clinical hypnosis",
"3facc412f556c142adfbef902729d05376dd9dd3","10.1111/j.1467-9280.2006.01829.x","Try It, You'll Like It","Leonard Lee, S. Frederick, D. Ariely","2006","Psychological science",
"0aaf28a08a26ec092898f3adf4a5783374652d3a","10.1111/j.1467-9280.2006.01829.x","Try It, You'll Like It","Leonard Lee, S. Frederick, D. Ariely","2006","Psychological science",
"a5570999986e2b79fd5117612ffb18131baa3493","10.1016/S0962-1849(05)80012-5","Response expectancy theory and application: A decennial review","I. Kirsch","1997","",
"5e0d999b293850d0f094e740e57b04e010d8f5c0","10.1016/J.FOODQUAL.2008.02.009","The role of expectancy in sensory and hedonic evaluation: The case of smoked salmon ice-cream","M. Yeomans, L. Chambers, H. Blumenthal, A. Blake","2008","",
"56a91363b2f6be8d86907bdb4312d3e61b45e706","10.1016/0022-1031(78)90039-2","The role of perceived physiological activity in affective judgments","K. W. Kerber, M. Coles","1978","",
"d9ad6182675884f15e52fe0b54d9e4478087c411","10.1037/0033-2909.98.3.471","Emotional effects of false autonomic feedback.","B. Parkinson","1985","",
