From,To,Diff. Score,Citation-Based Distance (Z), Semantic Distance (Z)
[c15: Sentiment analysis](/affect-net/profiles/c15),[c67: Speech](/affect-net/profiles/c67),2.54,1.4,-1.14
[c44: Agent](/affect-net/profiles/c44),[c67: Speech](/affect-net/profiles/c67),2.53,1.07,-1.46
[c43: Creativity](/affect-net/profiles/c43),[c67: Speech](/affect-net/profiles/c67),2.33,1.23,-1.11
[c39: Design](/affect-net/profiles/c39),[c67: Speech](/affect-net/profiles/c67),2.1,1.15,-0.95
[c40: Language](/affect-net/profiles/c40),[c67: Speech](/affect-net/profiles/c67),1.79,0.88,-0.91
