From,To,Diff. Score,Citation-Based Distance (Z), Semantic Distance (Z)
[c05: Disgust](/emo-web/profiles/c05),[c01: Core Affect](/emo-web/profiles/c01),2.2,0.97,-1.23
[c05: Disgust](/emo-web/profiles/c05),[c50: Asthma](/emo-web/profiles/c50),1.81,1.02,-0.8
[c29: Risk](/emo-web/profiles/c29),[c05: Disgust](/emo-web/profiles/c05),1.92,0.89,-1.03
[c62: Culture](/emo-web/profiles/c62),[c05: Disgust](/emo-web/profiles/c05),1.83,0.72,-1.11
[c61: Media](/emo-web/profiles/c61),[c05: Disgust](/emo-web/profiles/c05),1.72,1.02,-0.7
