From,To,Diff. Score,Citation-Based Distance (Z), Semantic Distance (Z)
[c61: Media](/affect-net/profiles/c61),[c27: Game](/affect-net/profiles/c27),2.4,1.29,-1.12
[c19: Socio-political](/affect-net/profiles/c19),[c27: Game](/affect-net/profiles/c27),2.3,1.42,-0.88
[c37: Student learning](/affect-net/profiles/c37),[c27: Game](/affect-net/profiles/c27),2.25,0.93,-1.32
[c39: Design](/affect-net/profiles/c39),[c27: Game](/affect-net/profiles/c27),2.14,1.03,-1.11
[c25: Consumer](/affect-net/profiles/c25),[c27: Game](/affect-net/profiles/c27),2.1,0.97,-1.13
