Community pairs with high citation-based distance but low semantic distance,,Diff. Score,Citation-Based Distance (Z), Semantic Distance (Z)
[c28: Expressive writing](/emo-web/profiles/c28),[c69: Soil](/emo-web/profiles/c69),2.33,1.2,-1.12
[c33: Humor](/emo-web/profiles/c33),[c28: Expressive writing](/emo-web/profiles/c28),2.59,1.29,-1.3
[c26: Pet](/emo-web/profiles/c26),[c28: Expressive writing](/emo-web/profiles/c28),2.54,1.22,-1.33
[c32: Experience](/emo-web/profiles/c32),[c28: Expressive writing](/emo-web/profiles/c28),2.44,1.31,-1.13
[c59: Nostalgia](/emo-web/profiles/c59),[c28: Expressive writing](/emo-web/profiles/c28),2.43,1.3,-1.13
