Community pairs with high citation-based distance but low semantic distance,,Diff. Score,Citation-Based Distance (Z), Semantic Distance (Z)
[c66: Experience (music)](/emo-web/profiles/c66),[c08: Facial Expression](/emo-web/profiles/c08),2.31,1.22,-1.09
[c66: Experience (music)](/emo-web/profiles/c66),[c20: Pain](/emo-web/profiles/c20),2.49,1.24,-1.25
[c32: Experience](/emo-web/profiles/c32),[c66: Experience (music)](/emo-web/profiles/c66),2.66,1.2,-1.46
[c33: Humor](/emo-web/profiles/c33),[c66: Experience (music)](/emo-web/profiles/c66),2.54,1.29,-1.25
[c26: Pet](/emo-web/profiles/c26),[c66: Experience (music)](/emo-web/profiles/c66),2.22,1.13,-1.09
