ssid,doi,title,authors,year,venue
"f2743cb3cd26bad5a36fabaeb82fd86166e93b53","10.1016/S0031-3203(02)00052-3","Automatic facial expression analysis: a survey","B. Fasel, J. Luettin","2003","Pattern Recognit.",
"0c5afb209b647456e99ce42a6d9d177764f9a0dd","10.1109/34.908962","Recognizing Action Units for Facial Expression Analysis","Ying-li Tian, T. Kanade, J. Cohn","2001","IEEE Trans. Pattern Anal. Mach. Intell.",
"087a6f471b5177014b08a342968901e1ef083ed1","10.1109/34.895976","Automatic Analysis of Facial Expressions: The State of the Art","M. Pantic, L. Rothkrantz","2000","IEEE Trans. Pattern Anal. Mach. Intell.",
"bac67498d4061c7491baef675399caa87f6b7c01","10.1109/TPAMI.2008.52","A Survey of Affect Recognition Methods: Audio, Visual, and Spontaneous Expressions","Zhihong Zeng, M. Pantic, Glenn I. Roisman, Thomas S. Huang","2009","IEEE Trans. Pattern Anal. Mach. Intell.",
"bd8d579715d58405dfd5a77f32920aafe018fce4","10.1016/j.imavis.2008.08.005","Facial expression recognition based on Local Binary Patterns: A comprehensive study","Caifeng Shan, S. Gong, P. McOwan","2009","Image Vis. Comput.",
"74839c6ded777733519acaf44684d927c5e625bd","10.1109/34.598232","Coding, Analysis, Interpretation, and Recognition of Facial Expressions","Irfan Essa, A. Pentland","1997","IEEE Trans. Pattern Anal. Mach. Intell.",
"1f1970df3155799ae35fc47e71c3047198f532d9","10.1016/S1077-3142(03)00081-X","Facial expression recognition from video sequences: temporal and static modeling","I. Cohen, N. Sebe, A. Garg, Lawrence S. Chen, Thomas S. Huang","2003","Comput. Vis. Image Underst.",
"6fac973162fc08cab5200a15ad891d14d3e56e0e","10.1145/1322192.1322216","A Survey of Affect Recognition Methods: Audio, Visual, and Spontaneous Expressions","Zhihong Zeng, M. Pantic, Glenn I. Roisman, Thomas S. Huang","2007","IEEE Transactions on Pattern Analysis and Machine Intelligence",
"044fdb693a8d96a61a9b2622dd1737ce8e5ff4fa","10.1109/TPAMI.2007.1110","Dynamic Texture Recognition Using Local Binary Patterns with an Application to Facial Expressions","Guoying Zhao, M. Pietikäinen","2007","IEEE Transactions on Pattern Analysis and Machine Intelligence",
"2a75f34663a60ab1b04a0049ed1d14335129e908","10.1109/ICME.2005.1521424","Web-based database for facial expression analysis","M. Pantic, M. Valstar, R. Rademaker, L. Maat","2005","2005 IEEE International Conference on Multimedia and Expo",
